Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
爱情,ài qíng,romance,ái tình,tình yêu,他们的爱情很美。Tình yêu của họ rất đẹp.
安排,ān pái,to arrange,an bài,sắp xếp/bố trí,我安排好了。Tôi đã sắp xếp xong.
安全,ān quán,safe,an toàn,an toàn,注意安全。Chú ý an toàn.
暗,àn,to close (a door),ám,tối/tăm tối,天色很暗。Trời rất tối.
按时,àn shí,on time,án thì,đúng giờ,请按时到达。Hãy đến đúng giờ.
按照,àn zhào,according to,án chiếu,theo/căn cứ,按照规定。Theo quy định.
包括,bāo kuò,to comprise,bao quát,bao gồm,包括我在内。Bao gồm cả tôi.
保护,bǎo hù,to protect,bảo hộ,bảo vệ,保护环境。Bảo vệ môi trường.
保证,bǎo zhèng,guarantee,bảo chứng,bảo đảm/đảm bảo,我保证。Tôi đảm bảo.
抱,bào,to hold,bão,ôm/bế,她抱着孩子。Cô ấy bế đứa trẻ.
抱歉,bào qiàn,to be sorry,bão thiểm,xin lỗi/lấy làm tiếc,真抱歉。Rất xin lỗi.
报道,bào dào,report,báo đạo,đưa tin/báo cáo,新闻报道。Bản tin tức.
报名,bào míng,to sign up,báo danh,đăng ký,报名参加。Đăng ký tham gia.
倍,bèi,(two,bội,gấp/lần,两倍。Gấp đôi.
本来,běn lái,original,bản lai,vốn/nguyên,他本来不想去。Vốn anh ấy không muốn đi.
笨,bèn,stupid,bổn,ngu/đần,他很笨。Anh ấy rất ngu.
笔记本,bǐ jì běn,notebook,bút ký bản,vở ghi chép,我的笔记本。Vở ghi chép của tôi.
毕业,bì yè,graduation,tất nghiệp,tốt nghiệp,我明年毕业。Tôi tốt nghiệp năm sau.
遍,biàn,everywhere,biến,(lượng từ),看一遍。Xem một lần.
标准,biāo zhǔn,(an official) standard,tiêu chuẩn,tiêu chuẩn,国际标准。Tiêu chuẩn quốc tế.
表达,biǎo dá,to voice (an opinion),biểu đạt,diễn đạt/bày tỏ,表达意见。Bày tỏ ý kiến.
表格,biǎo gé,form,biểu cách,biểu mẫu,填表格。Điền biểu mẫu.
表扬,biǎo yáng,to praise,biểu dương,khen ngợi,老师表扬了我。Giáo viên khen tôi.
饼干,bǐng gān,biscuit,bính can,bánh quy,吃饼干。Ăn bánh quy.
并且,bìng qiě,and,tính thả,và/hơn nữa,他聪明并且努力。Anh ấy thông minh và chăm chỉ.
博士,bó shì,doctor,bác sĩ,tiến sĩ,他是博士。Anh ấy là tiến sĩ.
不但,bù dàn,not only,bất đãn,không những,不但...而且...。Không những...mà còn...
不过,bù guò,only,bất quá,nhưng/tuy nhiên,不过我不确定。Nhưng tôi không chắc.
不得不,bù dé bù,have no choice,bất đắc bất,không thể không/bắt buộc,我不得不去。Tôi không thể không đi.
不管,bù guǎn,no matter (what,bất quản,dù/bất kể,不管怎样。Dù sao.
不仅,bù jǐn,not only (this one),bất cận,không chỉ,不仅如此。Không chỉ thế.
部分,bù fèn,part,bộ phận,phần/bộ phận,一部分。Một phần.
擦,cā,to wipe,sát,chùi/lau,擦桌子。Lau bàn.
猜,cāi,to guess,thái,đoán,猜一猜。Đoán thử xem.
材料,cái liào,material,tài liệu,tài liệu/vật liệu,准备材料。Chuẩn bị tài liệu.
参观,cān guān,to look around,tham quan,tham quan,参观博物馆。Tham quan bảo tàng.
差不多,chà bu duō,almost,sai bất đa,gần giống/xấp xỉ,差不多了。Gần xong rồi.
长城,Cháng chéng,the Great Wall,Trường Thành,Vạn Lý Trường Thành,去长城。Đi Vạn Lý Trường Thành.
长江,Cháng Jiāng,Yangtze River,Trường Giang,sông Dương Tử,长江很长。Sông Dương Tử rất dài.
尝,cháng,to taste,thường,nếm/thử,尝一尝。Nếm thử.
场,chǎng,large place,trường,sân/trường,足球场。Sân bóng.
超过,chāo guò,to surpass,siêu quá,vượt qua,超过100人。Vượt quá 100 người.
吵,chǎo,to quarrel,sao,ồn ào/cãi nhau,别吵了。Đừng ồn ào nữa.
乘坐,chéng zuò,to ride,thừa tọa,đi (phương tiện),乘坐飞机。Đi máy bay.
成功,chéng gōng,success,thành công,thành công,他成功了。Anh ấy thành công rồi.
成熟,chéng shú,mature,thành thục,chín chắn/trưởng thành,他很成熟。Anh ấy rất trưởng thành.
成为,chéng wéi,to become,thành vi,trở thành,成为老师。Trở thành giáo viên.
诚实,chéng shí,honest,thành thực,thành thật/chân thật,他很诚实。Anh ấy rất thành thật.
吃惊,chī jīng,to be startled,xích kinh,ngạc nhiên/giật mình,我很吃惊。Tôi rất ngạc nhiên.
重新,chóng xīn,again,trùng tân,lại/làm lại,重新开始。Bắt đầu lại.
抽烟,chōu yān,to smoke,trừu yên,hút thuốc,他在抽烟。Anh ấy đang hút thuốc.
出差,chū chāi,to go on business trip,xuất sai,đi công tác,我要出差。Tôi phải đi công tác.
出发,chū fā,to start out,xuất phát,xuất phát,我们出发吧。Chúng ta xuất phát thôi.
出生,chū shēng,to be born,xuất sinh,sinh ra,我出生在河内。Tôi sinh ở Hà Nội.
传真,chuán zhēn,fax,truyền chân,fax,发传真。Gửi fax.
窗户,chuāng hu,window,song hộ,cửa sổ,开窗户。Mở cửa sổ.
词典,cí diǎn,dictionary,từ điển,từ điển,查词典。Tra từ điển.
从来,cóng lái,always,tùng lai,từng/chưa bao giờ,我从来不迟到。Tôi chưa bao giờ đến muộn.
粗心,cū xīn,careless,thô tâm,bất cẩn/sơ ý,他很粗心。Anh ấy rất bất cẩn.
答案,dá àn,answer,đáp án,đáp án/câu trả lời,正确的答案。Đáp án đúng.
打扮,dǎ ban,to decorate,đả bạn,trang điểm/ăn mặc,她打扮得很漂亮。Cô ấy trang điểm rất đẹp.
打扰,dǎ rǎo,to disturb,đả nhiễu,làm phiền,打扰一下。Xin làm phiền.
打印,dǎ yìn,to print,đả ấn,in,打印文件。In tài liệu.
打折,dǎ zhé,to give a discount,đả chiết,giảm giá,打八折。Giảm 20%.
打针,dǎ zhēn,to give injection,đả châm,tiêm thuốc,去打针。Đi tiêm thuốc.
大概,dà gài,roughly,đại khái,đại khái/khoảng chừng,大概三点。Khoảng 3 giờ.
大使馆,dà shǐ guǎn,embassy,đại sứ quán,đại sứ quán,去大使馆。Đi đại sứ quán.
大约,dà yuē,approximately,đại ước,khoảng/độ,大约十个人。Khoảng 10 người.
戴,dài,to put on or wear,đái,đeo/đội,戴眼镜。Đeo kính.
代表,dài biǎo,representative,đại biểu,đại diện/đại biểu,他代表我们。Anh ấy đại diện chúng tôi.
代替,dài tì,instead,đại thế,thay thế,代替他。Thay thế anh ấy.
大夫,dài fu,doctor,đại phu,bác sĩ,看大夫。Khám bác sĩ.
当,dāng,to be,đương,khi/đang,当老师。Làm giáo viên.
当地,dāng dì,local,đương địa,địa phương/bản địa,当地人。Người địa phương.
当时,dāng shí,then,đương thì,lúc đó,当时我在家。Lúc đó tôi ở nhà.
刀,dāo,knife,đao,dao,用刀切菜。Dùng dao cắt rau.
导游,dǎo yóu,tour guide,đạo du,hướng dẫn viên,他是导游。Anh ấy là hướng dẫn viên.
到处,dào chù,everywhere,đáo xứ,khắp nơi,到处都是。Khắp nơi đều có.
到底,dào dǐ,finally,đáo để,cuối cùng/rốt cuộc,到底怎么了？Rốt cuộc thế nào?
道歉,dào qiàn,to apologize,đạo khiếm,xin lỗi,我向你道歉。Tôi xin lỗi bạn.
得意,dé yì,proud of oneself,đắc ý,đắc ý/tự hào,他很得意。Anh ấy rất đắc ý.
等,děng,class,đẳng,đẳng cấp/chờ,等一下。Chờ một chút.
