Chinese,Pinyin,Meaning_English,Han_Viet,Nghia_Tieng_Viet,Cach_dung_trong_cau
阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[gè],a di,dì/cô,我阿姨来了。Dì tôi đến rồi.
啊,a,modal particle ending sentence; showing affirmation; approval; or consent,a,a/ư,(trợ từ)
唉,āi,interjection or grunt of agreement or recognition (e.g. yes; it's me!); to sigh,ai,(thán từ),唉;真难！Ôi
矮,ǎi,low; short (in length),ải,thấp,他个子很矮。Anh ấy thấp.
爱,ài,to love; affection; to be fond of; to like,ái,yêu,我爱你。Wǒ ài nǐ. – Tôi yêu bạn.
爱好,àihào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[gè],ái hiếu,sở thích,我的爱好是看书。Sở thích của tôi là đọc sách.
爱护,àihù,to cherish; to treasure; to take care of; to love and protect,ái hộ,yêu quý/bảo vệ,爱护环境。Bảo vệ môi trường.
爱情,àiqíng,romance; love (romantic); CL:個|个[gè],ái tình,tình yêu,他们的爱情很美。Tình yêu của họ rất đẹp.
爱惜,àixī,to cherish; to treasure; to use sparingly,ái tích,yêu quý/tiếc,爱惜时间。Trân trọng thời gian.
爱心,àixīn,compassion; CL:片[piàn],ái tâm,tình thương/lòng yêu thương,献爱心。Trao tình thương.
安静,ānjìng,quiet; peaceful; calm,an tĩnh,yên tĩnh,图书馆很安静。Thư viện rất yên tĩnh.
安排,ānpái,to arrange; to plan; to set up,an bài,sắp xếp/bố trí,我安排好了。Tôi đã sắp xếp xong.
安全,ānquán,safe; secure; safety; security,an toàn,an toàn,注意安全。Chú ý an toàn.
安慰,ānwèi,to comfort; to console; CL:個|个[gè],an ủy,an ủi,安慰他。An ủi anh ấy.
安装,ānzhuāng,install; erect; fix; mount; installation,an trang,lắp đặt,安装软件。Cài phần mềm.
岸,àn,bank; shore; beach; coast; CL:個|个[gè],ngạn,bờ,河岸。Bờ sông.
暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,ám,tối/tăm tối,天色很暗。Trời rất tối.
按时,ànshí,on time; before deadline; on schedule,án thì,đúng giờ,请按时到达。Hãy đến đúng giờ.
按照,ànzhào,according to; in accordance with; in the light of; on the basis of,án chiếu,theo/căn cứ,按照规定。Theo quy định.
八,bā,eight; 8,bát,tám,我有八本书。Tôi có tám quyển sách.
把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,bả,(giới từ),把门关上。Đóng cửa lại.
把握,bǎwò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),bả ác,nắm bắt/nắm chắc,把握机会。Nắm bắt cơ hội.
爸爸,bàbà,(informal) father; CL:個|个[gè];位[wèi],bả bả,ba/bố,爸爸回家了。Ba đã về nhà.
吧,ba,(modal particle indicating polite suggestion); ...right?; ...OK?,ba,trợ từ ngữ khí,我们走吧。Wǒmen zǒu ba. – Chúng ta đi nhé.
白,bái,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai,bạch,màu trắng,白云。Bái yún – mây trắng.
百,bǎi,hundred; numerous; all kinds of; surname Bai,bách,một trăm,一百块。Yì bǎi kuài – 100 tệ.
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,bài,bày/đặt,摆桌子。Bày bàn.
搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,ban,chuyển/dọn,我们要搬家。Chúng tôi sẽ chuyển nhà.
班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[gè],ban,lớp,我们班有30个学生。Lớp chúng tôi có 30 học sinh.
班主任,bānzhǔrèn,a teacher in charge of a class,ban chủ nhiệm,giáo viên chủ nhiệm,他是班主任。Anh ấy là giáo viên chủ nhiệm.
半,bàn,half; semi-; incomplete; (after a number) and a half,bán,nửa,半个小时。Nửa tiếng.
办法,bànfǎ,means; method; way (of doing sth); CL:條|条[tiáo];個|个[gè],biện pháp,cách/phương pháp,我没有办法。Tôi không có cách nào.
办公室,bàngōngshì,an office; business premises; a bureau; CL:間|间[jiān],biện công thất,văn phòng,老师在办公室。Giáo viên ở văn phòng.
办理,bànlǐ,to handle; to transact; to conduct,biện lí,xử lý/làm thủ tục,办理手续。Làm thủ tục.
帮忙,bāngmáng,to help; to lend a hand; to do a favor; to do a good turn,bang mang,giúp đỡ,你能帮我忙吗？Bạn có thể giúp tôi không?
帮助,bāngzhù,assistance; aid; to help; to assist,giúp trợ,giúp đỡ,谢谢你的帮助。Cảm ơn sự giúp đỡ của bạn.
棒,bàng,a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,bổng,gậy/giỏi,他很棒。Anh ấy rất giỏi.
傍晚,bàngwǎn,in the evening; when night falls; towards evening; at night fall; at dusk,bàng vãn,chiều tối/hoàng hôn,傍晚时分。Lúc hoàng hôn.
包,bāo,to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[gè];隻|只[zhī],bao,gói/bọc,一包糖。Một gói kẹo.
包裹,bāoguǒ,wrap up; bind up; bundle; parcel; package; CL:個|个[gè],bao quả,gói/bưu kiện,寄包裹。Gửi bưu kiện.
包含,bāohán,to contain; to embody; to include,bao hàm,bao gồm/chứa đựng,包含很多内容。Bao gồm nhiều nội dung.
包括,bāokuò,to comprise; to include; to involve; to incorporate; to consist of,bao quát,bao gồm,包括我在内。Bao gồm cả tôi.
包子,bāozi,steamed stuffed bun; CL:個|个[gè],bao tử,bánh bao,吃包子。Ăn bánh bao.
薄,báo,thin; cold in manner; indifferent; weak; light; infertile,bạc,mỏng,纸很薄。Giấy rất mỏng.
饱,bǎo,to eat till full; satisfied,bão,no/no bụng,我吃饱了。Tôi no rồi.
宝贝,bǎobèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,bảo bối,báu vật/con yêu,我的宝贝。Con yêu của mẹ.
宝贵,bǎoguì,valuable; precious; value; treasure; set store by,bảo quý,quý giá,时间很宝贵。Thời gian rất quý giá.
保持,bǎochí,to keep; to maintain; to hold; to preserve,bảo trì,duy trì/giữ,保持联系。Giữ liên lạc.
保存,bǎocún,to conserve; to preserve; to keep; to save (a file etc) (computing),bảo tồn,bảo quản/lưu trữ,保存文件。Lưu file.
